,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
0,Nissan Terrano,Nissan,XL (P),2015,Manual,"86,374",1st,PetrolKA-51,"₹9,853/month","₹5,04,000",Zero Down Payment
1,Honda Civic,Honda,1.8L I-VTEC VX CVT,2019,Automatic,"20,179",1st,PetrolKA-05,"₹30,245/month","₹15,89,000","₹31,065/month"
2,Hyundai i20 Active,Hyundai,1.4 S,2015,Manual,"99,330",1st,DieselKA-01,"₹12,141/month","₹6,21,000",Zero Down Payment
3,Hyundai EON,Hyundai,ERA PLUS,2012,Manual,"31,496",1st,PetrolKA-19,"₹5,396/month","₹2,76,000",Zero Down Payment
4,Renault KWID,Renault,RXL 1.0 AMT,2021,Automatic,"8,304",1st,PetrolKA-05,"₹10,811/month","₹5,53,000",Zero Down Payment
5,Hyundai Creta,Hyundai,E PLUS 1.6 PETROL,2017,Manual,"54,439",1st,PetrolKA-05,"₹17,797/month","₹9,35,000","₹18,279/month"
6,Skoda Rapid,Skoda,ELEGANCE 1.6 TDI MT,2012,Manual,"81,645",1st,DieselKA-51,"₹8,563/month","₹4,38,000",Zero Down Payment
7,Hyundai i20 Active,Hyundai,1.2 SX,2017,Manual,"50,042",2nd,PetrolKA-05,"₹13,451/month","₹6,88,000",Zero Down Payment
8,Mahindra XUV500,Mahindra,W10,2016,Manual,"60,603",1st,DieselKA-01,"₹26,172/month","₹13,75,000","₹26,882/month"
9,Hyundai Verna,Hyundai,FLUIDIC 1.6 VTVT SX,2013,Manual,"68,059",1st,PetrolKA-53,"₹10,811/month","₹5,53,000",Zero Down Payment
10,Renault Kwid,Renault,CLIMBER 1.0 AMT (O),2021,Automatic,"13,807",1st,PetrolKA-16,"₹11,085/month","₹5,67,000",Zero Down Payment
11,RENAULT KWID,RENAULT,CLIMBER 1.0,2017,Manual,"29,726",2nd,PetrolKA-51,"₹7,429/month","₹3,80,000",Zero Down Payment
12,Skoda Rapid,Skoda,BITION AT TSI,2021,Automatic,"29,517",1st,PetrolKA-51,"₹22,727/month","₹11,94,000","₹23,343/month"
13,Volkswagen Vento,Volkswagen,HIGHLINE 1.6 MPI,2015,Manual,"76,925",2nd,PetrolKA-20,"₹10,557/month","₹5,40,000",Zero Down Payment
14,Tata Tiago,Tata,XZA PETROL,2017,Automatic,"75,698",1st,PetrolKA-03,"₹9,814/month","₹5,02,000",Zero Down Payment
15,HONDA AMAZE,HONDA,1.5 SMT I DTEC,2013,Manual,"99,044",2nd,DieselKA-04,"₹7,312/month","₹3,74,000",Zero Down Payment
16,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT,2020,Manual,"30,991",1st,PetrolKA-05,"₹14,311/month","₹7,32,000",Zero Down Payment
17,Maruti ALTO 800,Maruti,VXI O,2017,Manual,"41,690",2nd,PetrolKA-53,"₹6,667/month","₹3,41,000",Zero Down Payment
18,Maruti Swift,Maruti,VXI,2019,Manual,"72,494",1st,PetrolKA-12,"₹12,688/month","₹6,49,000",Zero Down Payment
19,Ford FREESTYLE,Ford,TITANIUM 1.5 DIESEL,2018,Manual,"59,005",1st,DieselKA-03,"₹13,353/month","₹6,83,000",Zero Down Payment
20,Maruti Swift,Maruti,VXI,2015,Manual,"63,231",2nd,PetrolKA-01,"₹10,498/month","₹5,37,000",Zero Down Payment
21,Maruti Ertiga,Maruti,ZDI,2014,Manual,"64,384",2nd,DieselKA-01,"₹15,269/month","₹7,81,000",Zero Down Payment
22,HYUNDAI EON,HYUNDAI,ERA +,2015,Manual,"41,940",2nd,PetrolKA-01,"₹5,982/month","₹3,06,000",Zero Down Payment
23,Tata NEXON,Tata,XZ PLUS PETROL DUAL TONE,2022,Manual,"4,950",1st,PetrolKA-53,"₹22,708/month","₹11,93,000","₹23,323/month"
24,Honda City,Honda,1.5L I-VTEC VX CVT,2018,Automatic,"99,861",1st,PetrolKA-03,"₹19,148/month","₹10,06,000","₹19,667/month"
25,Maruti Dzire,Maruti,VXI AMT,2019,Automatic,"59,197",1st,PetrolKA-01,"₹14,526/month","₹7,43,000",Zero Down Payment
26,Maruti Dzire,Maruti,VXI AMT,2018,Automatic,"41,998",1st,PetrolKA-01,"₹14,135/month","₹7,23,000",Zero Down Payment
27,RENAULT TRIBER,RENAULT,1.0 RXZ,2020,Manual,"18,731",1st,PetrolKA-04,"₹13,861/month","₹7,09,000",Zero Down Payment
28,Maruti Swift Dzire,Maruti,VXI,2013,Manual,"4,034",1st,PetrolKA-03,"₹9,462/month","₹4,84,000",Zero Down Payment
29,Hyundai Verna,Hyundai,FLUIDIC 1.6 VTVT EX,2011,Manual,"72,101",2nd,PetrolKA-01,"₹7,585/month","₹3,88,000",Zero Down Payment
30,Hyundai Creta,Hyundai,SX 1.5 PETROL,2020,Manual,"13,334",1st,PetrolKA-05,"₹29,845/month","₹15,68,000","₹30,655/month"
31,Hyundai i20 Active,Hyundai,1.2 S,2015,Manual,"50,180",1st,PetrolKA-02,"₹11,574/month","₹5,92,000",Zero Down Payment
32,Maruti Alto 800,Maruti,VXI,2015,Manual,"64,814",1st,PetrolKA-41,"₹6,100/month","₹3,12,000",Zero Down Payment
33,Mahindra XUV500,Mahindra,W6,2014,Manual,"97,785",1st,DieselKA-03,"₹15,621/month","₹7,99,000",Zero Down Payment
34,Maruti Dzire,Maruti,VXI AMT,2017,Automatic,"89,411",1st,PetrolKA-51,"₹11,124/month","₹5,69,000",Zero Down Payment
35,Hyundai NEW SANTRO,Hyundai,ERA,2019,Manual,"71,636",1st,PetrolKA-04,"₹8,739/month","₹4,47,000",Zero Down Payment
