cars_name,cars_brand,model_year,kms,gasoliene_type,price
Nissan Terrano,Nissan,2015,86374,Petrol,504000
Hyundai I20 Active,Hyundai,2015,99330,Diesel,621000
Hyundai Eon,Hyundai,2012,31496,Petrol,276000
Hyundai Creta,Hyundai,2017,54439,Petrol,935000
Skoda Rapid,Skoda,2012,81645,Diesel,438000
Hyundai I20 Active,Hyundai,2017,50042,Petrol,688000
Mahindra Xuv500,Mahindra,2016,60603,Diesel,1375000
Hyundai Verna,Hyundai,2013,68059,Petrol,553000
Renault Kwid,Renault,2021,13807,Petrol,567000
Renault Kwid,Renault,2017,29726,Petrol,380000
Skoda Rapid,Skoda,2021,29517,Petrol,1194000
Volkswagen Vento,Volkswagen,2015,76925,Petrol,540000
Tata Tiago,Tata,2017,75698,Petrol,502000
Honda Amaze,Honda,2013,99044,Diesel,374000
Hyundai Elite I20,Hyundai,2020,30991,Petrol,732000
Maruti Alto 800,Maruti,2017,41690,Petrol,341000
Maruti Swift,Maruti,2019,72494,Petrol,649000
Ford Freestyle,Ford,2018,59005,Diesel,683000
Maruti Swift,Maruti,2015,63231,Petrol,537000
Maruti Ertiga,Maruti,2014,64384,Diesel,781000
Hyundai Eon,Hyundai,2015,41940,Petrol,306000
Tata Nexon,Tata,2022,4950,Petrol,1193000
Honda City,Honda,2018,99861,Petrol,1006000
Maruti Dzire,Maruti,2019,59197,Petrol,743000
Maruti Dzire,Maruti,2018,41998,Petrol,723000
Maruti Swift Dzire,Maruti,2013,4034,Petrol,484000
Hyundai Verna,Hyundai,2011,72101,Petrol,388000
Hyundai Creta,Hyundai,2020,13334,Petrol,1568000
Hyundai I20 Active,Hyundai,2015,50180,Petrol,592000
Maruti Alto 800,Maruti,2015,64814,Petrol,312000
Mahindra Xuv500,Mahindra,2014,97785,Diesel,799000
Maruti Dzire,Maruti,2017,89411,Petrol,569000
Hyundai New Santro,Hyundai,2019,71636,Petrol,447000
Maruti Swift,Maruti,2018,38863,Petrol,665000
Honda Jazz,Honda,2012,69125,Petrol,389000
Maruti Eeco,Maruti,2021,19088,Petrol,442000
Maruti Alto,Maruti,2011,47671,Petrol,219000
Hyundai Grand I10,Hyundai,2018,50646,Petrol,562000
Volkswagen Polo,Volkswagen,2018,69629,Petrol,576000
Maruti Alto,Maruti,2019,36340,Petrol,387000
Honda Jazz,Honda,2017,69054,Petrol,705000
Hyundai Grand I10,Hyundai,2015,41241,Petrol,459000
Hyundai Grand I10,Hyundai,2016,48907,Petrol,566000
Hyundai Xcent,Hyundai,2015,42587,Petrol,486000
Maruti Baleno,Maruti,2018,78631,Diesel,673000
Maruti Swift,Maruti,2011,91007,Diesel,321000
Maruti Swift,Maruti,2018,46789,Petrol,560000
Ford Ecosport,Ford,2014,86820,Diesel,638000
Mahindra Tuv300,Mahindra,2017,122137,Diesel,500000
Hyundai Grand I10,Hyundai,2017,13428,Petrol,594000
Maruti Alto 800,Maruti,2014,61218,Petrol,270000
Maruti Swift,Maruti,2016,67389,Petrol,609000
Honda City,Honda,2011,84680,Petrol,409000
Ford Freestyle,Ford,2018,61129,Diesel,753000
Maruti Swift Dzire,Maruti,2010,43603,Petrol,351000
Ford Freestyle,Ford,2020,13239,Petrol,675000
Maruti Ciaz,Maruti,2016,72907,Petrol,635000
Renault Kwid,Renault,2017,25553,Petrol,368000
Maruti Swift,Maruti,2022,3382,Petrol,802000
Hyundai New Elantra,Hyundai,2019,11290,Petrol,1557000
Maruti Ertiga,Maruti,2020,15699,Petrol,1061000
Honda Wr-V,Honda,2017,20936,Petrol,698000
Maruti Baleno,Maruti,2018,34491,Petrol,625000
Volkswagen Polo,Volkswagen,2021,22899,Petrol,983000
Maruti Swift,Maruti,2018,56697,Diesel,725000
Honda City,Honda,2012,72234,Petrol,492000
Maruti Ritz,Maruti,2010,62568,Petrol,284000
Maruti Ciaz,Maruti,2019,39980,Petrol,770000
Hyundai Grand I10 Nios,Hyundai,2020,51683,Petrol,649000
Datsun Redi Go,Datsun,2018,55547,Petrol,289000
Ford Freestyle,Ford,2018,94877,Diesel,600000
Hyundai Verna,Hyundai,2014,94218,Diesel,617000
Maruti Ciaz,Maruti,2016,72394,Petrol,579000
Tata Harrier,Tata,2019,42757,Diesel,1452000
Hyundai Verna,Hyundai,2014,69232,Diesel,668000
Tata Altroz,Tata,2020,20302,Petrol,788000
Maruti Swift,Maruti,2011,88266,Petrol,390000
Tata Nexon,Tata,2018,44428,Petrol,760000
Renault Duster,Renault,2018,58204,Diesel,870000
Honda Amaze,Honda,2018,33479,Petrol,655000
Hyundai Verna,Hyundai,2018,10821,Petrol,857000
Tata Tiago,Tata,2017,50522,Petrol,498000
Volkswagen Vento,Volkswagen,2016,28671,Petrol,676000
Hyundai New Santro,Hyundai,2018,37352,Petrol,484000
Hyundai Elite I20,Hyundai,2018,77794,Petrol,706000
Tata Altroz,Tata,2021,35172,Petrol,672000
Hyundai Grand I10,Hyundai,2017,70049,Petrol,495000
Maruti Swift Dzire,Maruti,2009,70353,Petrol,303000
Kia Seltos,Kia,2020,37245,Diesel,1253000
Hyundai Elite I20,Hyundai,2017,18750,Petrol,690000
